file,role,sha256,freeze_version,freeze_date,status
canonical_japanese_source.md,packet_scope_and_canonical_policy,04c224f330b37609491ca691eb1a37c0751e2f1fe4ae6afeafe846296dacc53a,text_layer_v0_2,2026-07-01,frozen
source_segments_japanese.csv,canonical_japanese_evidence,29a889ba8ecc1b3d0032328f140651db61e750c121fd79b3bf26bdaa32823037,text_layer_v0_2,2026-07-01,frozen
source_provenance.md,source_and_rights_provenance,769474f2cdd8a6b03d20957bcc8aabac0eb9d096f7148ced4878d7fcdd79316c,text_layer_v0_2,2026-07-01,frozen
aozora_usage_guidance_record.md,official_usage_guidance_record,99d2f930e36a4eb119866e217fe0bad9d0b7d49ea7b4fa3b02de6a570784e3f0,text_layer_v0_2,2026-07-01,frozen
canonical_text_exactness_audit.md,canonical_text_exactness_audit,710f2da7e6f6bcfa53d4de459b5c4dce4947f3cb84bbcceda412813d81c57260,text_layer_v0_2,2026-07-01,frozen
text_layer_review_status.md,author_review_and_freeze_status,c30e326ad2e0f3cdba47292b718588aed1fd40443aa9fff7e249d28388ebbd38,text_layer_v0_2,2026-07-01,frozen
