shared_context_id,description,member_case_ids,permitted_segment_ids
HAMLET_CONTEXT_A,Selected Hamlet passages supplied together for this context group,HAM_GHOST_COMMAND|HAM_PLAY_REACTION,HAM_GHOST_COMMAND_S1|HAM_GHOST_COMMAND_S2|HAM_GHOST_COMMAND_S3|HAM_GHOST_COMMAND_S4|HAM_PLAY_REACTION_S1|HAM_PLAY_REACTION_S2|HAM_PLAY_REACTION_S3|HAM_PLAY_REACTION_S4
OTHELLO_CONTEXT_A,Selected Othello passages supplied together for this context group,OTH_HANDKERCHIEF_CHAIN,OTH_HANDKERCHIEF_CHAIN_S1|OTH_HANDKERCHIEF_CHAIN_S2|OTH_HANDKERCHIEF_CHAIN_S3|OTH_HANDKERCHIEF_CHAIN_S4|OTH_HANDKERCHIEF_CHAIN_S5
THEBES_CONTEXT_A,Selected Oedipus passages supplied together for this context group,OED_TIREISIAS_ACCUSATION|OED_MESSENGER_SHEPHERD,OED_TIREISIAS_ACCUSATION_S1|OED_TIREISIAS_ACCUSATION_S2|OED_TIREISIAS_ACCUSATION_S3|OED_TIREISIAS_ACCUSATION_S4|OED_MESSENGER_SHEPHERD_S1|OED_MESSENGER_SHEPHERD_S2|OED_MESSENGER_SHEPHERD_S3|OED_MESSENGER_SHEPHERD_S4|OED_MESSENGER_SHEPHERD_S5
